Unnamed: 0,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,type,"""pl_eqt"""
1941,Kepler-1912 b,0.0646,,,0.0,976.0,,,0.0,5734.0,104.0,-115.0,0.0,0.962,0.137,-0.074,0.0,hot,
1942,Kepler-1913 b,0.1209,,,0.0,818.0,,,0.0,6214.0,186.0,-224.0,0.0,1.076,0.353,-0.118,0.0,hot,
1943,Kepler-1914 b,0.1954,,,0.0,585.0,,,0.0,5982.0,173.0,-215.0,0.0,0.96,0.322,-0.089,0.0,hot,
1944,Kepler-1915 b,0.1143,,,0.0,809.0,,,0.0,6031.0,170.0,-222.0,0.0,1.056,0.452,-0.124,0.0,hot,
1945,Kepler-1916 b,0.2061,,,0.0,646.0,,,0.0,6215.0,175.0,-234.0,0.0,1.145,0.621,-0.137,0.0,hot,
1946,Kepler-1917 b,0.1025,,,0.0,680.0,,,0.0,5534.0,169.0,-147.0,0.0,0.796,0.312,-0.062,0.0,hot,
1947,Kepler-1918 b,0.2524,,,0.0,497.0,,,0.0,5889.0,180.0,-197.0,0.0,0.924,0.376,-0.09,0.0,hot,
1948,Kepler-1919 b,0.2107,,,0.0,479.0,,,0.0,5513.0,172.0,-144.0,0.0,0.818,0.336,-0.068,0.0,hot,
1949,Kepler-192 b,0.0871,,,0.0,747.0,,,0.0,5543.0,148.0,-142.0,0.0,0.813,0.273,-0.065,0.0,hot,
1950,Kepler-192 c,0.1445,,,0.0,580.0,,,0.0,5543.0,148.0,-142.0,0.0,0.813,0.273,-0.065,0.0,hot,
1951,Kepler-192 d,0.0654,,,0.0,862.0,,,0.0,5543.0,148.0,-142.0,0.0,0.813,0.273,-0.065,0.0,hot,
1952,Kepler-1920 b,0.2043,,,0.0,660.0,,,0.0,6277.0,170.0,-208.0,0.0,1.161,0.4,-0.133,0.0,hot,
1953,Kepler-1921 b,0.1557,,,0.0,967.0,,,0.0,6120.0,195.0,-217.0,0.0,2.0,0.467,-0.801,0.0,hot,
1955,Kepler-1922 b,0.1077,,,0.0,740.0,,,0.0,5931.0,161.0,-178.0,0.0,0.863,0.231,-0.077,0.0,hot,
1956,Kepler-1923 b,0.2583,,,0.0,437.0,,,0.0,5751.0,166.0,-143.0,0.0,0.767,0.348,-0.053,0.0,hot,
1957,Kepler-1924 b,0.1163,,,0.0,716.0,,,0.0,6028.0,167.0,-173.0,0.0,0.844,0.365,-0.071,0.0,hot,
1958,Kepler-1925 b,0.2588,,,0.0,531.0,,,0.0,5856.0,79.0,-79.0,0.0,1.092,0.18,-0.097,0.0,hot,
1959,Kepler-1926 b,0.2197,,,0.0,451.0,,,0.0,5256.0,213.0,-169.0,0.0,0.832,0.456,-0.095,0.0,hot,
1960,Kepler-1927 b,0.3432,,,0.0,449.0,,,0.0,6085.0,147.0,-178.0,0.0,0.962,0.375,-0.096,0.0,hot,
1961,Kepler-1928 b,0.1366,,,0.0,755.0,,,0.0,5839.0,153.0,-147.0,0.0,1.173,0.387,-0.248,0.0,hot,
1962,Kepler-1929 b,0.2987,,,0.0,566.0,,,0.0,5786.0,115.0,-104.0,0.0,1.471,0.233,-0.321,0.0,hot,
1963,Kepler-193 b,0.1058,,,0.0,917.0,,,0.0,6343.0,152.0,-244.0,0.0,1.137,0.618,-0.13,0.0,hot,
1964,Kepler-193 c,0.2862,,,0.0,558.0,,,0.0,6343.0,152.0,-244.0,0.0,1.137,0.618,-0.13,0.0,hot,
1965,Kepler-1930 b,0.1025,,,0.0,643.0,,,0.0,5083.0,176.0,-133.0,0.0,0.844,0.199,-0.067,0.0,hot,
1966,Kepler-1931 b,0.2356,,,0.0,619.0,,,0.0,6167.0,111.0,-136.0,0.0,1.221,0.217,-0.133,0.0,hot,
1970,Kepler-1935 b,0.0463,,,0.0,1083.0,,,0.0,5570.0,166.0,-136.0,0.0,0.899,0.363,-0.102,0.0,hot,
1971,Kepler-1936 b,0.5548,,,0.0,524.0,,,0.0,6501.0,179.0,-247.0,0.0,1.854,0.578,-0.578,0.0,hot,
1972,Kepler-1937 b,0.0943,,,0.0,1014.0,,,0.0,6457.0,179.0,-246.0,0.0,1.196,0.428,-0.143,0.0,hot,
1973,Kepler-1938 b,0.0938,,,0.0,527.0,,,0.0,4522.0,137.0,-128.0,0.0,0.655,0.056,-0.063,0.0,hot,
1974,Kepler-1939 b,0.0335,,,0.0,827.0,,,0.0,4358.0,125.0,-134.0,0.0,0.62,0.057,-0.057,0.0,hot,
1976,Kepler-194 c,0.133,,,0.0,752.0,,,0.0,6107.0,102.0,-102.0,0.0,1.04,0.38,-0.38,0.0,hot,
1977,Kepler-194 d,0.2722,,,0.0,516.0,,,0.0,6085.0,163.0,-186.0,0.0,1.005,0.375,-0.12,0.0,hot,
1978,Kepler-1940 b,0.0524,,,0.0,892.0,,,0.0,5435.0,172.0,-154.0,0.0,0.725,0.184,-0.053,0.0,hot,
1979,Kepler-1941 b,0.2092,,,0.0,670.0,,,0.0,6418.0,157.0,-234.0,0.0,1.171,0.56,-0.146,0.0,hot,
1980,Kepler-1942 b,0.0516,,,0.0,1011.0,,,0.0,5834.0,167.0,-149.0,0.0,0.797,0.369,-0.061,0.0,hot,
1981,Kepler-1943 b,0.0571,,,0.0,1098.0,,,0.0,6032.0,153.0,-200.0,0.0,0.973,0.402,-0.088,0.0,hot,
1982,Kepler-1944 b,0.0919,,,0.0,803.0,,,0.0,5589.0,160.0,-186.0,0.0,0.974,0.331,-0.083,0.0,hot,
1983,Kepler-1945 b,0.0597,,,0.0,808.0,,,0.0,4991.0,156.0,-128.0,0.0,0.804,1.016,-0.075,0.0,hot,
1986,Kepler-1948 b,0.0989,,,0.0,391.0,,,0.0,3842.0,117.0,-71.0,0.0,0.526,0.1,-0.05,0.0,hot,
1988,Kepler-195 b,0.0769,,,0.0,753.0,,,0.0,5324.0,169.0,-140.0,0.0,0.791,0.189,-0.06,0.0,hot,
1989,Kepler-195 c,0.195,,,0.0,456.0,,,0.0,5296.0,81.0,-81.0,0.0,0.74,0.22,-0.22,0.0,hot,
1990,Kepler-1950 b,0.0871,,,0.0,752.0,,,0.0,5455.0,162.0,-162.0,0.0,0.852,0.19,-0.127,0.0,hot,
1991,Kepler-1951 b,0.1359,,,0.0,624.0,,,0.0,5497.0,177.0,-139.0,0.0,0.9,0.444,-0.128,0.0,hot,
1992,Kepler-1952 b,0.1724,,,0.0,725.0,,,0.0,5973.0,120.0,-108.0,0.0,1.305,0.193,-0.266,0.0,hot,
1993,Kepler-1953 b,0.0606,,,0.0,739.0,,,0.0,4859.0,171.0,-144.0,0.0,0.72,0.089,-0.055,0.0,hot,
1994,Kepler-1954 b,0.0625,,,0.0,949.0,,,0.0,5840.0,174.0,-174.0,0.0,0.849,0.254,-0.079,0.0,hot,
1995,Kepler-1955 b,0.1176,,,0.0,833.0,,,0.0,5826.0,102.0,-126.0,0.0,1.236,0.231,-0.174,0.0,hot,
1996,Kepler-1956 b,0.0563,,,0.0,674.0,,,0.0,4391.0,118.0,-131.0,0.0,0.682,0.032,-0.06,0.0,hot,
1997,Kepler-1957 b,0.0299,,,0.0,1099.0,,,0.0,4904.0,153.0,-125.0,0.0,0.772,1.225,-0.072,0.0,hot,
1998,Kepler-1958 b,0.0856,,,0.0,806.0,,,0.0,5749.0,153.0,-170.0,0.0,0.864,0.234,-0.078,0.0,hot,
1999,Kepler-1959 b,0.0617,,,0.0,811.0,,,0.0,5071.0,153.0,-138.0,0.0,0.811,0.08,-0.088,0.0,hot,
2000,Kepler-196 b,0.1441,,,0.0,756.0,,,0.0,5313.0,177.0,-156.0,0.0,1.501,0.935,-0.627,0.0,hot,
2001,Kepler-196 c,0.2387,,,0.0,407.0,,,0.0,5132.0,102.0,-102.0,0.0,0.77,0.054,-0.04,0.0,hot,
2002,Kepler-196 d,0.4698,,,0.0,419.0,,,0.0,5313.0,177.0,-156.0,0.0,1.501,0.935,-0.627,0.0,hot,
2004,Kepler-1961 b,0.0585,,,0.0,861.0,,,0.0,5396.0,166.0,-143.0,0.0,0.766,0.209,-0.054,0.0,hot,
